time,hash-rate
2017-04-16,3727936.32
2017-04-19,3636471.778
2017-04-22,3809461.38
2017-04-25,3761380.799
2017-04-28,3836567.889
2017-05-01,3821883.55
2017-05-04,3881003.761
2017-05-07,3914364.825
2017-05-10,4073756.575
2017-05-13,4221326.561
2017-05-16,4268826.867
2017-05-19,4274860.982
2017-05-22,4274860.982
2017-05-25,4400811.961
2017-05-28,4576075.581
2017-05-31,4794765.227
2017-06-03,4837084.426
2017-06-06,5167926.41
2017-06-09,5315464.143
2017-06-12,5220268.568
2017-06-15,4969618.554
2017-06-18,4950512.174
2017-06-21,5052025.489
2017-06-24,5145067.927
2017-06-27,4988391.006
2017-06-30,4942904.158
2017-07-03,5333067.905
2017-07-06,5535157.712
2017-07-09,5611261.893
2017-07-12,5596164.328
2017-07-15,5861899.508
2017-07-18,5848067.996
2017-07-21,6016114.579
2017-07-24,6341773.203
2017-07-27,6404619.605
2017-07-30,6501258.799
2017-08-02,6350028.429
2017-08-05,6518130.266
2017-08-08,6646415.866
2017-08-11,6749801.502
2017-08-14,6519361.849
2017-08-17,6379288.902
2017-08-20,6812005.313
